                    SOFT STORY PROPERTIES LIST (Updated Every Wednesday),,,,,,,,,,,
BLOCK,LOT,PROPERTY,NOTICE,SCREENING FORM,,OPT. EVALUATION,,IN / OUT,TIER,,
0219,020,1455 CLAY ST,X,07/21/14,07/21/14,,,IN,3,Permit Filed,
0219,007,1430 SACRAMENTO ST,X,04/04/14,04/25/14,,,OUT,,Not Subject to the Program,
0219,004,1201 LEAVENWORTH ST,X,03/10/14,03/10/14,,,IN,2,Screening Form Accepted,
0219,014,1230 HYDE ST,X,02/05/14,02/05/14,,,IN,3,Screening Form Accepted,
0219,021A,1433 CLAY ST,X,02/11/16,02/11/16,,,OUT,,Not Subject to the Program,
0219,008,1440 SACRAMENTO ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
0219,017,1485 CLAY ST,X,09/15/14,09/15/14,,,IN,4,Screening Form Accepted,
0219,010,1456 SACRAMENTO ST,X,06/25/14,06/25/14,,,IN,3,Screening Form Accepted,
0219,009,1442 SACRAMENTO ST,X,08/27/14,08/27/14,,,IN,3,Screening Form Accepted,
0219,011,1474 SACRAMENTO ST,X,09/23/14,09/23/14,,,IN,2,Screening Form Accepted,
0219,015,1250 HYDE ST,X,05/19/14,05/19/14,,,IN,3,Screening Form Accepted,
0219,012,1490 SACRAMENTO ST,X,12/16/13,12/16/13,,,IN,2,Screening Form Accepted,
0219,024,1415 CLAY ST,X,05/13/14,05/13/14,,,IN,3,Screening Form Accepted,
0220,022,1368 SACRAMENTO ST,X,11/07/13,11/07/13,,,IN,3,"Work Complete, CFC Issued",
0220,034,1335 CLAY ST,X,05/09/14,05/09/14,,,IN,3,Permit Issued,
0220,029,1385 CLAY ST,X,04/22/14,04/22/14,,,IN,2,Permit Filed,
0220,003,1245 JONES ST,X,10/22/13,10/22/13,,,IN,3,Screening Form Accepted,
0220,009,1322 SACRAMENTO ST,X,08/05/14,08/05/14,,,IN,3,Screening Form Accepted,
0220,008,1300 SACRAMENTO ST,X,09/12/14,09/12/14,,,IN,2,Screening Form Accepted,
0220,010,1348 SACRAMENTO ST,X,08/04/14,08/04/14,,,IN,2,Screening Form Accepted,
0220,032,1357 CLAY ST,X,01/24/14,01/24/14,,,IN,3,Screening Form Accepted,
0221,119,1242 SACRAMENTO ST,X,07/15/14,07/15/14,,,IN,3,"Work Complete, CFC Issued",
0221,004C,1250 SACRAMENTO ST,X,12/10/13,12/10/13,,,IN,3,Permit Filed,
0221,002,1133 TAYLOR ST,X,02/26/14,03/07/14,,,OUT,,Not Subject to the Program,
0221,003C,1200 SACRAMENTO ST,X,07/28/14,08/07/14,,,OUT,,Not Subject to the Program,
0221,043,1234 JONES ST,X,08/19/14,03/10/16,,,OUT,,Not Subject to the Program,
0221,003,1125 TAYLOR ST,X,08/26/14,08/26/14,,,IN,3,Screening Form Accepted,
0221,030,1275 CLAY ST,,09/30/14,09/30/14,,,IN,3,Screening Form Accepted,
0221,004B,1246 SACRAMENTO ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
0222,020,1126 TAYLOR ST,X,09/03/14,09/03/14,,,IN,3,Permit Filed,
0222,023,1146 TAYLOR ST,X,03/27/14,03/27/14,,,IN,3,Permit Filed,
0222,001,1055 MASON ST,X,07/31/14,07/31/14,,,IN,4,Screening Form Accepted,
0222,029,1159 CLAY ST,X,07/25/14,07/25/14,,,IN,3,Screening Form Accepted,
0222,024,1148 TAYLOR ST,X,08/20/14,08/20/14,,,IN,3,Screening Form Accepted,
0223,010,1040 MASON ST,X,11/25/13,11/25/13,,,IN,3,Permit Issued,
0223,026,1031 CLAY ST,X,07/08/14,05/21/15,,,OUT,,Not Subject to the Program,
0223,016,1 DAWSON PL,X,07/02/14,07/02/14,,,IN,2,Screening Form Accepted,
0223,002,959 POWELL ST,X,10/18/13,10/18/13,,,IN,3,Screening Form Accepted,
0224,019,952 POWELL ST,X,09/20/13,09/20/13,,,OUT,,Not Subject to the Program,
0224,013,900 POWELL ST,X,02/10/14,02/11/14,,,OUT,,Not Subject to the Program,
0224,003,833 STOCKTON ST,X,04/21/14,04/21/14,,,OUT,,Not Subject to the Program,
0224,032,937 CLAY ST,X,08/28/14,08/28/14,,,OUT,,Not Subject to the Program,
0224,005,805 STOCKTON ST,X,04/14/14,04/17/14,,,OUT,,Not Subject to the Program,
0225,019,857 CLAY ST,X,08/18/14,08/21/14,,,OUT,,Not Subject to the Program,
0225,017,850 STOCKTON ST,X,09/26/13,09/30/13,,,OUT,,Not Subject to the Program,
0225,023,41 WAVERLY PL,X,,,,,OUT,,Not Subject to the Program,
0225,020,843 CLAY ST,X,11/06/13,11/08/13,,,OUT,,Not Subject to the Program,
0225,030,817 CLAY ST,X,01/14/14,01/14/14,,,OUT,,Not Subject to the Program,
0225,004,729 GRANT AVE,,04/03/14,04/17/14,,,OUT,,Not Subject to the Program,
0226,040,742 GRANT AV,X,04/03/14,04/17/14,,,OUT,,Not Subject to the Program,
0226,042,757 CLAY ST,X,,,,,OUT,,Not Subject to the Program,
0226,047,713 CLAY ST,X,04/14/14,04/17/14,,,OUT,,Not Subject to the Program,
0226,018,700 GRANT AV,X,09/06/14,09/06/14,,,OUT,,Not Subject to the Program,
0226,046,729 CLAY ST,X,08/18/14,12/12/14,,,OUT,,Not Subject to the Program,
0226,001,649 KEARNY ST,X,09/20/13,09/30/13,,,OUT,,Not Subject to the Program,
0226,048,775 COMMERCIAL ST,X,04/29/14,05/15/14,,,OUT,,Not Subject to the Program,
0226,041,771 CLAY ST,X,01/14/14,01/14/14,,,OUT,,Not Subject to the Program,
0227,042,658 COMMERCIAL ST,X,11/05/13,11/05/13,,,OUT,,Not Subject to the Program,
0227,043,651 CLAY ST,X,11/05/13,11/05/13,,,OUT,,Not Subject to the Program,
0227,015,666 SACRAMENTO ST,X,03/04/14,03/07/14,,,OUT,,Not Subject to the Program,
0227,044,643 CLAY ST,X,09/26/13,09/30/13,,,OUT,,Not Subject to the Program,
0227,033,678 COMMERCIAL ST,X,09/22/14,09/22/14,,,IN,3,Screening Form Accepted,
0241,017,767 SACRAMENTO ST,X,09/12/14,09/15/14,,,OUT,,Not Subject to the Program,
0241,016,775 SACRAMENTO ST,X,10/08/13,10/08/13,,,OUT,,Not Subject to the Program,
0241,014,616 GRANT AVE,,04/03/14,04/17/14,,,OUT,,Not Subject to the Program,
0242,017,738 STOCKTON ST,,09/05/14,09/05/14,,,OUT, ,Not Subject to the Program,
0242,020,760 STOCKTON ST,X,01/22/14,02/07/14,,,OUT,,Not Subject to the Program,
0242,027,855 SACRAMENTO ST,X,08/08/14,08/14/14,,,OUT,,Not Subject to the Program,
0242,022,4 BROOKLYN PL,X,09/12/14,12/11/14,,,OUT,,Not Subject to the Program,
0242,016,730 STOCKTON ST,X,07/15/14,07/29/14,,,OUT,,Not Subject to the Program,
0242,001,665 GRANT AVE,,04/03/14,04/17/14,,,OUT,,Not Subject to the Program,
0243,055,830 POWELL ST,X,07/01/14,07/01/14,,,OUT,,Not Subject to the Program,
0243,008,814 CALIFORNIA ST,X,01/31/14,01/31/14,,,IN,2,Screening Form Accepted,
0243,056,840 CALIFORNIA ST,X,01/31/14,01/31/14,,,IN,2,Screening Form Accepted,
0243,101,120 JOICE ST,X,08/29/14,08/29/14,,,IN,3,Screening Form Accepted,
0247,010,1270 CALIFORNIA ST,X,03/11/14,03/11/14,,,IN,3,"Work Complete, CFC Issued",
0247,026,1369 SACRAMENTO ST,X,01/15/14,01/15/14,,,IN,3,Permit Issued,
0247,025,1375 SACRAMENTO ST,X,03/25/14,03/25/14,,,IN,3,"Work Complete, CFC Issued",
0247,027,1359A SACRAMENTO ST,X,09/09/14,09/09/14,,,IN,2,"Work Complete, CFC Issued",
0247,008,1250 CALIFORNIA ST,X,06/19/14,07/29/14,,,OUT, ,Not Subject to the Program,
0247,007,1244 CALIFORNIA ST,X,10/29/14,12/23/14,,,OUT, ,Not Subject to the Program,
0247,035,1343 SACRAMENTO ST,X,12/10/13,01/06/14,,,OUT,,Not Subject to the Program,
0247,009,1260 CALIFORNIA ST,X,02/06/14,02/07/14,,,OUT,,Not Subject to the Program,
0247,002,1111 JONES ST,X,07/31/14,07/31/14,,,IN,3,Screening Form Accepted,
0247,040,1315 SACRAMENTO ST,X,09/24/14,09/24/14,,,IN,3,Screening Form Accepted,
0247,014,1100 LEAVENWORTH ST,X,04/02/14,04/02/14,,,IN,3,Screening Form Accepted,
0247,006,1240 CALIFORNIA ST,X,04/22/14,04/22/14,,,IN,2,Screening Form Accepted,
0247,015,1124 LEAVENWORTH ST,X,07/31/14,07/31/14,,,IN,3,Screening Form Accepted,
0247,029,7 LEROY ST,,08/14/14,08/14/14,,,IN,3,Screening Form Accepted,
0248,014,1102 HYDE ST,X,04/22/14,04/22/14,,,IN,4,Permit Filed,
0248,025,1451 SACRAMENTO ST,,09/08/14,09/08/14,,,IN,3,Screening Form Accepted,
0248,026,1441 SACRAMENTO ST,X,08/26/14,08/26/14,,,IN,3,Screening Form Accepted,
0248,001,1155 LEAVENWORTH ST,X,02/18/14,02/18/14,,,IN,2,Screening Form Accepted,
0248,010,1320 CALIFORNIA ST,X,10/17/14,10/17/14,,,IN,3,Screening Form Accepted,
0248,023,1463 SACRAMENTO ST,X,04/18/14,04/18/14,,,IN,3,Screening Form Accepted,
0248,024,1455 SACRAMENTO ST,X,08/14/14,08/14/14,,,IN,3,Screening Form Accepted,
0248,021,1487 SACRAMENTO ST,X,06/04/14,06/04/14,,,IN,3,Screening Form Accepted,
0248,071,1153 LEAVENWORTH ST,X,09/04/14,09/04/14,,,IN,3,Screening Form Accepted,
0248,020,1150 HYDE ST,X,06/20/14,06/20/14,,,IN,3,Screening Form Accepted,
0248,012,1332 CALIFORNIA ST,X,12/27/13,12/27/13,,,IN,3,Screening Form Accepted,
0248,022,1469 SACRAMENTO ST,X,05/01/14,05/01/14,,,IN,3,Screening Form Accepted,
0248,013,1120 HYDE ST,X,09/05/14,09/05/14,,,IN,2,Screening Form Accepted,
0248,008,1306 CALIFORNIA ST,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
0248,029,1409 SACRAMENTO ST,X,09/11/14,09/15/14,09/11/14,09/15/14,OUT,,Screening Form and Optional Evaluation Form Approved,
0249,019,1480 LARKIN ST,X,03/07/14,03/07/14,,,IN,2,"Work Complete, CFC Issued",
0249,005,1135 HYDE ST,X,04/04/14,04/04/14,,,IN,3,"Work Complete, CFC Issued",
0249,001,1501 SACRAMENTO ST,X,08/27/14,08/27/14,,,IN,3,"Work Complete, CFC Issued",
0249,007,1400 CALIFORNIA ST,X,08/27/14,08/28/14,,,OUT,,Not Subject to the Program,
0249,015,1494 CALIFORNIA ST,X,04/28/14,04/28/14,,,IN,4,Screening Form Accepted,
0249,002,1159 HYDE ST,X,07/24/14,07/24/14,,,IN,3,Screening Form Accepted,
0249,004,1137 HYDE ST,X,08/19/14,08/19/14,,,IN,3,Screening Form Accepted,
0249,027,1545 SACRAMENTO ST,X,07/02/14,07/02/14,,,IN,3,Screening Form Accepted,
0249,009,1430 CALIFORNIA ST,X,07/24/14,07/24/14,,,IN,4,Screening Form Accepted,
0249,017,1430 LARKIN ST,X,07/25/14,07/25/14,,,IN,2,Screening Form Accepted,
0249,027A,1541 SACRAMENTO ST,X,09/04/14,09/04/14,,,IN,3,Screening Form Accepted,
0249,006,1127 HYDE ST,X,04/24/14,04/24/14,,,IN,3,Screening Form Accepted,
0249,014,1476 CALIFORNIA ST,X,08/29/14,08/29/14,,,IN,3,Screening Form Accepted,
0249,016,1418 LARKIN ST,X,05/27/14,08/29/14,05/27/14,08/29/14,OUT,,Screening Form and Optional Evaluation Form Approved,
0250,008,1372 PINE ST,X,11/01/13,11/01/13,,,IN,2,Permit Issued,
0250,004,1330 PINE ST,X,05/19/14,05/19/14,,,IN,3,Permit Filed,
0250,005,1346 PINE ST,X,01/10/14,03/07/14,,,OUT,,Not Subject to the Program,
0250,003D,1005 HYDE ST,X,04/17/14,04/17/14,,,OUT,,Not Subject to the Program,
0250,003A,1025 HYDE ST,X,04/07/14,04/07/14,,,IN,3,Screening Form Accepted,
0250,016,1499 CALIFORNIA ST,X,07/21/14,07/21/14,,,IN,2,Screening Form Accepted,
0250,003C,1011 HYDE ST,X,08/21/14,08/21/14,,,IN,3,Screening Form Accepted,
0250,003E,1324 PINE ST,X,07/17/14,07/17/14,,,IN,3,Screening Form Accepted,
0250,006,1350 PINE ST,X,11/01/13,11/01/13,,,IN,2,Screening Form Accepted,
0250,003,1029 HYDE ST,X,10/16/14,10/16/14,,,IN,2,Screening Form Accepted,
0250,017,1477 CALIFORNIA ST,X,07/14/14,07/14/14,,,IN,3,Screening Form Accepted,
0250,019,1461 CALIFORNIA ST,X,03/04/14,03/04/14,,,IN,3,Screening Form Accepted,
0251,002,1045 LEAVENWORTH ST,X,11/25/13,11/25/13,,,IN,3,Permit Issued,
0251,030,1337 CALIFORNIA ST,X,07/07/14,07/07/14,,,IN,3,Permit Filed,
0251,016,1018 HYDE ST,X,06/05/14,06/05/14,,,IN,3,Permit Filed,
0251,027,1355 CALIFORNIA ST,X,07/28/14,07/28/14,,,IN,3,Screening Form Accepted,
0251,026,1361 CALIFORNIA ST,X,07/28/14,07/28/14,,,IN,3,Screening Form Accepted,
0251,007,1200 PINE ST,X,08/15/14,08/15/14,,,IN,2,Permit Filed,
0251,015,1010 HYDE ST,X,08/19/14,08/19/14,,,IN,4,Screening Form Accepted,
0251,013,1270 PINE ST,X,07/01/14,07/01/14,,,IN,2,Screening Form Accepted,
0251,001,1059 LEAVENWORTH ST,X,06/17/14,06/17/14,,,IN,3,Screening Form Accepted,
0251,003,1041 LEAVENWORTH ST,X,11/04/13,11/04/13,,,IN,3,Screening Form Accepted,
0251,004,1031 LEAVENWORTH ST,,08/08/14,08/08/14,,,IN,2,Screening Form Accepted,
0251,024,1375 CALIFORNIA ST,,08/08/14,08/08/14,,,IN,2,Screening Form Accepted,
0251,035,1351 CALIFORNIA ST,X,05/23/14,05/23/14,,,IN,3,Screening Form Accepted,
0252,010,1144 PINE ST,X,09/12/14,08/27/15,,,OUT,,Not Subject to the Program,
0252,009,1140 PINE ST,X,08/01/14,12/04/14,,,OUT,,Not Subject to the Program,
0252,011,1160 PINE ST,X,05/06/14,05/06/14,,,OUT,,Not Subject to the Program,
0252,011A,1166 PINE ST,X,05/27/14,05/27/14,,,OUT,,Not Subject to the Program,
0252,013,1190 PINE ST,X,10/15/13,05/27/14,,,OUT,,Not Subject to the Program,
0252,017,1299 CALIFORNIA ST,,09/14/14,09/14/14,,,IN,2,Screening Form Accepted,
0252,004,1005 JONES ST,X,09/13/14,09/13/14,,,IN,4,Screening Form Accepted,
0252,016,1040 LEAVENWORTH ST,X,09/08/14,09/08/14,,,IN,2,Screening Form Accepted,
0252,018,1275 CALIFORNIA ST,X,07/09/14,07/09/14,,,IN,3,Screening Form Accepted,
0252,006,1114 PINE ST,X,07/15/14,07/15/14,,,IN,3,Screening Form Accepted,
0253,014A,1082 PINE ST,X,03/10/14,03/10/14,,,IN,3,Work Complete,
0253,038,1038A PINE ST,X,06/09/14,06/09/14,,,IN,3,"Work Complete, CFC Issued",
0253,015,1096 PINE ST,X,12/09/13,12/19/13,,,OUT,,Not Subject to the Program,
0253,010,1044 PINE ST,X,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
0253,012,1060 PINE ST,X,10/03/14,10/03/14,,,IN,3,Screening Form Accepted,
0253,011,1050 PINE ST,X,04/22/14,04/22/14,,,IN,3,Screening Form Accepted,
0253,007,1026 PINE ST,X,04/18/14,04/18/14,,,IN,3,Screening Form Accepted,
0253,039 ,1038B PINE ST,X,06/09/14,06/09/14,,,IN,3,Screening Form Accepted,
0253,040,1040A PINE ST,X,06/09/14,06/09/14,,,IN,3,Screening Form Accepted,
0253,041,1040B PINE ST,X,06/09/14,06/09/14,,,IN,3,Screening Form Accepted,
0254,017,960 PINE ST,X,03/25/14,03/25/14,,,IN,3,"Work Complete, CFC Issued",
0254,018,966 PINE ST,X,09/12/14,09/12/14,,,IN,3,"Work Complete, CFC Issued",
0254,016,950 PINE ST,,08/25/14,08/25/14,,,IN,2,Permit Issued,
0254,021,900 TAYLOR ST,X,09/09/14,09/23/14,,,OUT,,Not Subject to the Program,
0254,080,1001 CALIFORNIA ST,,07/30/14,08/07/14,,,OUT, ,Not Subject to the Program,
0254,019,974 PINE ST,X,08/15/14,08/15/14,,,IN,3,Screening Form Accepted,
0254,035,930 PINE ST,X,09/22/14,09/22/14,,,IN,2,Screening Form Accepted,
0254,023,930 TAYLOR ST,,09/02/14,09/02/14,,,IN,3,Screening Form Accepted,
0254,022,920 TAYLOR ST,X,04/04/14,04/04/14,,,IN,3,Screening Form Accepted,
0256,012,774 PINE ST,X,06/11/14,06/17/14,,,OUT,,Not Subject to the Program,
0256,011,762 PINE ST,X,05/19/14,06/17/14,,,OUT,,Not Subject to the Program,
0256,005,601 STOCKTON ST,X,04/29/14,05/06/14,,,OUT,,Not Subject to the Program,
0256,001,655 STOCKTON ST,X,02/04/14,02/04/14,,,IN,2,Screening Form Accepted,
0256,003,621 STOCKTON ST,X,04/10/14,04/10/14,,,IN,2,Permit Filed,
0256,060,25 JOICE ST,X,09/13/14,09/13/14,,,IN,3,Screening Form Accepted,
0256,010,750 PINE ST,X,09/06/14,09/06/14,,,IN,2,Screening Form Accepted,
0256,065,730 POWELL ST,X,09/02/14,09/02/14,,,IN,3,Screening Form Accepted,
0256,026,50 JOICE ST,X,04/10/14,04/10/14,,,IN,3,Screening Form Accepted,
0257,009,501 GRANT AV,X,10/08/13,10/08/13,,,OUT,,Not Subject to the Program,
0257,002,531 GRANT AV,X,03/10/14,03/18/14,,,OUT,,Not Subject to the Program,
0257,011,626 PINE ST,X,07/28/14,08/07/14,,,OUT,,Not Subject to the Program,
0258,014,512 GRANT AV,X,06/18/14,07/01/14,,,OUT,,Not Subject to the Program,
0270,016,450 GRANT AV,X,07/02/14,07/07/14,,,OUT,,Not Subject to the Program,
0271,019,550 STOCKTON ST,X,05/15/14,05/15/14,,,OUT,,Not Subject to the Program,
0271,018,540 STOCKTON ST,X,09/18/14,10/16/14,,,OUT,,Not Subject to the Program,
0271,020,679 PINE ST,X,09/20/13,09/20/13,,,OUT,,Not Subject to the Program,
0271,016,510 STOCKTON ST,X,08/28/14,08/28/14,,,OUT,,Not Subject to the Program,
0272,020,745 PINE ST,X,09/10/14,09/10/14,,,IN,2,"Work Complete, CFC Issued",
0272,012,634 POWELL ST,X,08/27/15,08/27/15,,,IN,2,   Subject to the Program,
0272,019,755 PINE ST,X,09/08/14,02/09/15,,,OUT,,Not Subject to the Program,
0272,023,27 DASHIELL HAMMETT ST,X,03/18/14,03/18/14,,,OUT,,Not Subject to the Program,
0272,001,701 PINE ST,X,09/11/14,09/11/14,,,OUT,,Not Subject to the Program,
0272,028,5 FELLA PL,X,03/17/14,03/17/14,,,IN,3,Screening Form Accepted,
0273,001B,821 PINE ST,X,05/01/14,05/01/14,,,IN,2,Permit Issued,
0273,001C,825 PINE ST,X,09/23/14,09/23/14,,,IN,2,Permit Issued,
0273,001D,835 PINE ST,X,08/26/14,08/26/14,,,IN,2,Permit Issued,
0273,010,700 MASON ST,X,,,,,OUT,,Not Subject to the Program,
0273,003,704 BUSH ST,X,06/19/15,06/26/15,,,OUT,,Not Subject to the Program,
0274,019,969 PINE ST,X,08/14/14,08/14/14,,,IN,3,Permit Issued,
0274,025,735 MASON ST,X,03/06/14,03/06/14,,,IN,2,Permit Issued,
0274,016,995 PINE ST,X,03/04/14,03/04/14,,,IN,2,Permit Filed,
0274,018,977 PINE ST,X,06/09/14,06/09/14,,,IN,2,Permit Issued,
0274,023,929 PINE ST,X,06/09/14,06/09/14,,,IN,2,Permit Issued,
0274,020,961 PINE ST,X,08/14/14,08/14/14,,,IN,2,Permit Filed,
0274,021,955 PINE ST,X,11/01/13,11/01/13,,,IN,2,Permit Issued,
0274,006A,834 BUSH ST,X,07/14/14,07/29/14,,,OUT,,Not Subject to the Program,
0274,011,880 BUSH ST,X,09/24/13,09/30/13,,,OUT,,Not Subject to the Program,
0274,007,846 BUSH ST,X,10/15/14,10/16/14,,,OUT,,Not Subject to the Program,
0274,014,828 TAYLOR ST,X,09/12/14,09/12/14,,,IN,3,Screening Form Accepted,
0274,024,755 MASON ST,X,09/15/14,09/15/14,,,IN,2,Screening Form Accepted,
0274,022A,935 PINE ST,X,11/21/13,11/21/13,,,IN,3,Screening Form Accepted,
0274,015,840 TAYLOR ST,X,04/17/14,04/17/14,,,IN,3,Screening Form Accepted,
0275,007,940 JONES ST,X,09/04/14,09/04/14,,,IN,3,Permit Issued,
0275,006,980 BUSH ST,X,08/26/14,08/28/14,,,OUT,,Not Subject to the Program,
0275,007A,946 JONES ST,X,03/14/14,12/23/14,,,OUT,,Not Subject to the Program,
0276,007,1008 BUSH ST,X,07/09/15,07/22/15,,,OUT,,Not Subject to the Program,
0276,022,1185 PINE ST,X,10/30/13,11/08/13,,,OUT,,Not Subject to the Program,
0276,018,930 LEAVENWORTH ST,X,04/03/14,04/17/14,,,OUT,,Not Subject to the Program,
0276,010,1018 BUSH ST,X,10/08/13,10/08/13,,,OUT,,Not Subject to the Program,
0276,016,1086 BUSH ST,X,01/01/14,01/13/14,,,OUT,,Not Subject to the Program,
0276,017,1094 BUSH ST,X,08/11/14,08/11/14,,,OUT,,Not Subject to the Program,
0276,026,1163 PINE ST,X,04/10/14,04/10/14,,,IN,2,Screening Form Accepted,
0276,094,1155 PINE ST,X,10/16/14,10/16/14,,,IN,2,Screening Form Accepted,
0276,025,1167 PINE ST,X,07/21/14,07/21/14,,,IN,3,Screening Form Accepted,
0276,029,1111 PINE ST,X,09/15/14,09/15/14,,,IN,2,Screening Form Accepted,
0276,021,940 LEAVENWORTH ST,X,06/05/14,06/05/14,,,IN,3,Screening Form Accepted,
0276,117,1145 PINE ST,X,11/03/14,11/03/14,,,IN,3,Screening Form Accepted,
0276,002,953 JONES ST,X,08/25/14,08/25/14,,,IN,3,Screening Form Accepted,
0276,020,936 LEAVENWORTH ST,X,07/01/14,07/01/14,, ,IN,3,Screening Form Accepted,
0277,001,1201 PINE ST,X,02/24/14,02/24/14,,,IN,2,"Work Complete, CFC Issued",
0277,005,925 LEAVENWORTH ST,X,11/08/13,11/13/13,,,OUT,,Not Subject to the Program,
0277,022,1235 PINE ST,X,03/10/14,03/10/14,,,IN,3,Screening Form Accepted,
0277,021,1243 PINE ST,X,06/06/14,06/06/14,,,IN,3,Screening Form Accepted,
0277,023,1225 PINE ST,X,04/02/14,04/18/14,04/02/14,04/18/14,OUT,,Screening Form and Optional Evaluation Form Approved,
0278,012,1385 PINE ST,X,09/05/14,09/05/14,,,IN,2,Permit Filed,
0278,004A,1246 BUSH ST,X,10/15/14,10/20/14,,,OUT,,Not Subject to the Program,
0278,001B,935 HYDE ST,,08/19/14,04/27/15,,,OUT,,Not Subject to the Program,
0278,009,1234 LARKIN ST,,09/15/14,09/15/14,,,IN,3,Screening Form Accepted,
0278,016,1355 PINE ST,X,08/12/14,08/12/14,,,IN,3,Screening Form Accepted,
0278,001,965 HYDE ST,X,08/12/14,08/12/14,,,IN,4,Screening Form Accepted,
0279,010,1062 SUTTER ST,X,10/30/14,08/27/15,,,IN,2,   Subject to the Program,
0279,020,1241 BUSH ST,X,06/01/14,06/01/14,,,OUT,,Not Subject to the Program,
0279,021,1235 BUSH ST,X,07/28/14,08/07/14,,,OUT,,Not Subject to the Program,
0279,009,1054 SUTTER ST,X,01/07/14,01/07/14,,,OUT, ,Not Subject to the Program,
0279,012,1144 LARKIN ST,X,06/10/14,06/12/14,,,OUT,,Not Subject to the Program,
0279,008,1040 SUTTER ST,X,11/26/13,12/04/13,,,OUT,,Not Subject to the Program,
0279,022,1209 BUSH ST,X,10/07/13,10/17/13,,,OUT,,Not Subject to the Program,
0279,023,1207 BUSH ST,X,06/01/14,06/01/14,,,OUT,,Not Subject to the Program,
0279,007,1034 SUTTER ST,X,08/26/14,08/28/14,,,OUT,,Not Subject to the Program,
0279,011B,1130 LARKIN ST,X,11/20/13,12/04/13,,,OUT,,Not Subject to the Program,
0279,015,1283 BUSH ST,X,08/19/14,08/19/14,,,IN,3,Screening Form Accepted,
0280,030,1121 BUSH ST,X,07/30/14,08/07/14,,,OUT,,Not Subject to the Program,
0280,002,839 LEAVENWORTH ST,X,02/17/15,05/21/15,,,OUT,,Not Subject to the Program,
0280,026,1153 BUSH ST,X,04/01/14,04/17/14,,,OUT,,Not Subject to the Program,
0280,004,821 LEAVENWORTH ST,X,04/28/14,04/28/14,,,OUT,,Not Subject to the Program,
0280,019,838 HYDE ST,X,11/15/13,12/04/13,,,OUT,,Not Subject to the Program,
0280,016,810 HYDE ST,X,06/01/14,06/01/14,,,OUT,,Not Subject to the Program,
0280,024,1171 BUSH ST,X,08/19/14,04/27/15,,,OUT,,Not Subject to the Program,
0280,029,1135 BUSH ST,X,12/31/13,01/06/14,,,OUT,,Not Subject to the Program,
0280,012,970 SUTTER ST,X,05/14/14,05/15/14,,,OUT,,Not Subject to the Program,
0281,001,1005 BUSH ST,X,09/30/13,09/30/13,,,OUT,,Not Subject to the Program,
0281,002B,830 SUTTER ST,X,07/16/14,07/25/14,,,OUT,,Not Subject to the Program,
0281,014,1073 BUSH ST,X,06/20/14,07/25/14,,,OUT,,Not Subject to the Program,
0281,002A,800 SUTTER ST,X,10/30/13,11/08/13,,,OUT,,Not Subject to the Program,
0281,001B,833 JONES ST,X,09/20/13,09/30/13,,,OUT,,Not Subject to the Program,
0281,017,1035 BUSH ST,X,08/19/14,08/19/14,,,IN,2,Screening Form Accepted,
0282,014,947 BUSH ST,X,01/30/14,01/30/14,,,OUT,,Not Subject to the Program,
0282,004A,700 SUTTER ST,X,01/27/14,02/07/14,,,OUT,,Not Subject to the Program,
0282,009,828 JONES ST,X,01/30/14,01/30/14,,,OUT,,Not Subject to the Program,
0282,013,969 BUSH ST,X,01/30/14,02/07/14,,,OUT,,Not Subject to the Program,
0282,002,749 TAYLOR ST,X,05/14/14,05/15/14,,,OUT,,Not Subject to the Program,
0282,015,929 BUSH ST,X,03/06/14,03/18/14,,,OUT,,Not Subject to the Program,
0282,008A,820 JONES ST,X,03/05/14,03/18/14,,,OUT,,Not Subject to the Program,
0282,003,735 TAYLOR ST,X,08/11/14,08/11/14,,,OUT,,Not Subject to the Program,
0283,019,835 BUSH ST,X,03/07/14,03/18/14,,,OUT,,Not Subject to the Program,
0283,002,643 MASON ST,X,10/18/13,11/01/13,,,OUT,,Not Subject to the Program,
0283,007,680 SUTTER ST,X,11/06/14,11/14/14,,,OUT,,Not Subject to the Program,
0283,015,875 BUSH ST,X,09/15/14,11/20/14,,,OUT,,Not Subject to the Program,
0283,010,710 TAYLOR ST,X,10/29/13,11/01/13,,,OUT,,Not Subject to the Program,
0284,019,755 BUSH ST,X,01/30/14,01/30/14,,,OUT,,Not Subject to the Program,
0284,021,737 BUSH ST,,11/21/13,11/22/13,,,OUT,,Not Subject to the Program,
0285,018,625 BUSH ST,X,08/07/14,08/14/14,,,OUT,,Not Subject to the Program,
0286,001,347 GRANT AV,X,09/20/13,09/20/13,,,OUT,,Not Subject to the Program,
0286,022,513 BUSH ST,X,07/23/14,08/07/14,,,OUT,,Not Subject to the Program,
0287,022,429 BUSH ST,X,11/26/13,12/04/13,,,OUT,,Not Subject to the Program,
0287,020,447 BUSH ST,X,09/11/14,10/16/14,,,OUT,,Not Subject to the Program,
0294,021,323 SUTTER ST,X,10/11/13,10/17/13,,,OUT,,Not Subject to the Program,
0298,030,765 SUTTER ST,X,11/20/13,11/22/13,,,OUT,,Not Subject to the Program,
